index,name,k2,K1,rAC,rcat,kg(473K),kg(673K),kg(873K),pg(473K),pg(673K),pg(873K),reff(Tg=473K),reff(Tg=673K),reff(Tg=873K)
101,coords_1Kps_031_0304,2.221306e+04,5.022749e-01,7.622465e+03,7.621753e+03,3.627043e-02,8.320593e+02,2.031560e+05,1.000000e+00,1.000000e+00,1.000000e+00,7.621753e+03,7.621753e+03,7.621753e+03
102,coords_1Kps_032_0009,2.838111e+04,3.317261e+00,2.200381e+04,2.199788e+04,5.014872e+01,1.388036e+05,1.121388e+07,1.000000e+00,1.000000e+00,1.000000e+00,2.199788e+04,2.199788e+04,2.199788e+04
103,coords_1Kps_032_0106,3.118476e+04,3.465994e+00,2.441287e+04,2.440557e+04,2.340401e+00,1.789699e+04,2.513389e+06,1.000000e+00,1.000000e+00,1.000000e+00,2.440557e+04,2.440557e+04,2.440557e+04
104,coords_1Kps_032_0211,6.465297e+03,5.858415e-01,2.447943e+03,2.447869e+03,5.315475e+01,1.388151e+05,1.092477e+07,1.000000e+00,1.000000e+00,1.000000e+00,2.447869e+03,2.447869e+03,2.447869e+03
105,coords_1Kps_032_0305,2.957043e+05,6.866190e-02,1.971044e+04,1.970568e+04,2.197854e+00,1.394663e+04,1.734073e+06,1.000000e+00,1.000000e+00,1.000000e+00,1.970568e+04,1.970568e+04,1.970568e+04
106,coords_1Kps_032_0310,7.075277e+02,1.094586e+00,3.766746e+02,3.766728e+02,1.576377e-01,2.708727e+03,5.783646e+05,1.000000e+00,1.000000e+00,1.000000e+00,3.766728e+02,3.766728e+02,3.766728e+02
107,coords_1Kps_032_0412,1.007362e+04,1.786474e-01,1.578509e+03,1.578478e+03,5.882977e-02,1.266389e+03,2.998600e+05,1.000000e+00,1.000000e+00,1.000000e+00,1.578478e+03,1.578478e+03,1.578478e+03
108,coords_1Kps_032_0713,4.569787e+03,9.756123e+00,4.159848e+03,4.159636e+03,3.663842e+00,2.176772e+04,2.639584e+06,1.000000e+00,1.000000e+00,1.000000e+00,4.159636e+03,4.159636e+03,4.159636e+03
109,coords_1Kps_032_0810,4.732509e+05,2.542808e-01,9.898598e+04,9.886606e+04,6.064530e+01,1.618961e+05,1.281585e+07,1.000000e+00,1.000000e+00,1.000000e+00,9.886606e+04,9.886606e+04,9.886606e+04
110,coords_1Kps_033_0001,5.579815e+03,3.294149e-01,1.423928e+03,1.423903e+03,3.009033e+01,9.171683e+04,7.789987e+06,1.000000e+00,1.000000e+00,1.000000e+00,1.423903e+03,1.423903e+03,1.423903e+03
111,coords_1Kps_034_0003,1.218432e+08,6.349563e-01,4.846258e+07,3.040582e+07,1.326566e-16,3.778721e-08,1.478987e-03,4.775639e-13,1.360247e-04,9.951285e-01,1.452072e-05,4.135942e+03,3.025770e+07
112,coords_1Kps_034_0105,7.765760e+03,5.413935e-01,2.797617e+03,2.797521e+03,4.077510e+01,1.143075e+05,9.326470e+06,1.000000e+00,1.000000e+00,1.000000e+00,2.797521e+03,2.797521e+03,2.797521e+03
113,coords_1Kps_034_0204,1.059321e+04,1.391807e-01,1.339589e+03,1.339567e+03,1.716998e+01,6.507869e+04,6.198210e+06,1.000000e+00,1.000000e+00,1.000000e+00,1.339567e+03,1.339567e+03,1.339567e+03
