index,name,k2,K1,rAC,rcat,kg(473K),kg(673K),kg(873K),pg(473K),pg(673K),pg(873K),reff(Tg=473K),reff(Tg=673K),reff(Tg=873K),r1,r2,shaft_length,theta1,theta2,torsion
86,coords_1Kps_027_0004,18582.71,0.1748893,2860.031,2859.931,16.13033,60296.1,5770484.0,1.0,1.0,1.0,2859.931,2859.931,2859.931,5.334676079791901,0.19694174543789478,4.707649807942919,145.61178893544167,6.7301857822941855,4.450647110989534
87,coords_1Kps_027_0102,17741.12,1.980461,11943.19,11941.44,0.0001291657,15.82362,9737.517,0.3718626,1.0,1.0,4440.576,11941.44,11941.44,5.513320258448195,0.23206228300333143,4.590402660578482,180.18994049552913,-3.7224402856145247,24.00132994212423
88,coords_1Kps_027_0305,27453.95,2.68744,20220.17,20215.16,15.27441,68396.21,7199869.0,1.0,1.0,1.0,20215.16,20215.16,20215.16,5.2636485158803445,-0.10228235463970092,4.149240253968191,192.9945746468119,10.054934431958742,27.03746162873418
89,coords_1Kps_027_0306,12785.82,0.1403351,1628.563,1628.53,0.2181361,3097.903,587624.7,1.0,1.0,1.0,1628.53,1628.53,1628.53,5.360207331660096,0.0305311206694161,4.540288930307632,171.71956039722593,0.6312505216857289,44.18581391186402
90,coords_1Kps_027_0507,3434.073,0.0495557,168.3282,168.3279,31.17084,105565.2,9590047.0,1.0,1.0,1.0,168.3279,168.3279,168.3279,5.326529002606977,-0.1299921027860922,4.292924414184345,201.2954348545436,10.612869902409358,23.958288880424643
91,coords_1Kps_028_0002,12316.9,1.934678,8228.016,8227.186,0.0001195223,16.25717,10683.83,0.3496732,1.0,1.0,2876.826,8227.186,8227.186,5.378820381012882,-0.17882026451288002,4.342101260625437,170.3713080157086,-4.0539383447184605,15.752212832783915
92,coords_1Kps_028_0103,5529.759,10.90486,5081.726,5081.41,8.057066,36472.71,3806302.0,1.0,1.0,1.0,5081.41,5081.41,5081.41,5.233760625944924,0.006704240941982853,3.653937584086549,123.87270815149387,-6.408663195297912,8.069303716538322
93,coords_1Kps_029_0001,19081.65,0.07875888,1444.781,1444.755,24.72439,80812.01,7139329.0,1.0,1.0,1.0,1444.755,1444.755,1444.755,5.235648901351354,-0.2978608762129733,4.332204619420119,146.19056763397865,4.750936910836344,11.773269817394866
94,coords_1Kps_029_0203,15241.78,0.1403351,1941.385,1941.339,123.2984,320291.8,24477950.0,1.0,1.0,1.0,1941.339,1941.339,1941.339,5.310308932847544,0.06319675402020097,4.3097694491132446,159.70027534670723,9.257329927310138,35.06226678550425
95,coords_1Kps_030_0205,437413.1,0.6349563,173979.0,173608.9,1.269626e-09,0.004385217,16.63256,4.570644e-06,0.9999999,1.0,0.7935045,173608.9,173608.9,5.147610448293275,0.10192749590714811,4.56311700525255,185.4935323791101,-4.244614795052215,13.494756036428106
96,coords_1Kps_030_0309,4395.988,1.778673,2853.549,2853.449,69.51271,184115.5,14701140.0,1.0,1.0,1.0,2853.449,2853.449,2853.449,5.277921003911794,0.10415745036588486,4.087078355775678,182.19103474967994,-18.70390428598735,26.80328832994696
97,coords_1Kps_030_0407,5668.293,0.5413935,2042.004,2041.953,29.78781,91919.39,7879797.0,1.0,1.0,1.0,2041.953,2041.953,2041.953,5.057909643683654,0.08907731884112602,4.690308554471655,197.6500907148981,7.767051614930651,15.80540267262893
98,coords_1Kps_030_0608,558109.6,3.219869,429780.0,427528.4,1.646438e-09,0.005490228,20.22875,5.927159e-06,1.0,1.0,2.534029,427528.4,427528.4,5.365415896606816,-0.23370583355765762,3.90305626935982,175.93542433747558,7.7658252226020466,7.292263322859961
99,coords_1Kps_031_0005,4733.362,0.07876163,358.4016,358.4,46.94122,133637.1,10960350.0,1.0,1.0,1.0,358.4,358.4,358.4,5.113547414276452,-0.09423269786346067,4.234572360702437,188.62601129212928,-23.119585850841275,38.41102603740816
100,coords_1Kps_031_0102,556707.9,0.1174114,60586.93,60541.98,3.443919e-09,0.01080774,38.84844,1.239803e-05,1.0,1.0,0.7506014,60541.98,60541.98,5.257664124648061,-0.02843720518510784,4.462403592462839,210.81465719032053,-4.938596755853496,4.87005683166245
101,coords_1Kps_031_0304,22213.06,0.5022749,7622.465,7621.753,0.03627043,832.0593,203156.0,1.0,1.0,1.0,7621.753,7621.753,7621.753,5.089570851092759,0.062080117098313625,4.126486094449368,141.42004416568489,11.43270658819796,8.496479690308032
102,coords_1Kps_032_0009,28381.11,3.317261,22003.81,21997.88,50.14872,138803.6,11213880.0,1.0,1.0,1.0,21997.88,21997.88,21997.88,5.458502486211019,0.12122781788074821,4.343447299838575,222.55922210307938,-0.8762150397551238,0.11310627526185899
