SMILES,Accumulation P. aeruginosa PAO1,Accumulation E. coli,ASA,ASA_H,a_acc,a_aro,a_base,a_don,a_hyd,a_nN,a_nO,b_rotN,h_logD,h_logP,h_logS,h_pKa,rings,SlogP,TPSA,h_pavgQ,Weight
FC(F)(F)c1nc(-c2n[nH]c3c2ccnc3)nc(NCCC[N+H3])c1,1027,1731,558.27167,558.27167,5,15,1,3,15,7,0,6,-1.3608427,-3.6843886,-0.71196258,9.1877928,3,1.7891001,107.02,1.0285552,338.31699
O=C(NC(C[N+H3])(C)C)c1c2nc(-c3n[nH]c4c3ccc(C)c4)cnc2[nH]c1,1025,2557,599.24225,599.24225,6,18,1,5,17,7,1,5,-0.23152655,-3.0656381,-1.533656,9.1948853,4,1.55992,126.99,1.0000329,364.43298
FC(F)(F)c1ccc(NC(=O)Nc2cc3c(cc2)C[C@@H]([N+H3])CC3)cc1,986,1372,559.37268,559.37268,1,12,1,2,20,3,1,5,0.71077627,-1.4643215,-1.6409271,9.7755098,3,3.76004,68.769997,0.99832594,350.36398
FC(F)(C[N+H3])CNc1nc(N2Cc3c(S(=O)(=O)CC2)cccc3)nc2c1cc(C)cc2,985,1022,656.62701,656.62701,4,16,1,1,21,5,2,5,1.7205384,-3.1111221,-1.808666,7.180552,4,2.2876201,102.83,0.76851612,448.51801
FC(F)(F)c1cc(C(F)(F)F)cc(COc2cc(F)c(NC(=O)C[N+H3])cc2)c1,970,1039,607.74103,607.74103,2,12,1,1,23,2,2,8,3.9306879,-0.85780013,-2.0464025,6.8516102,2,4.5121002,65.970001,0.41540137,411.297
Clc1cc(NC(=O)c2c3n(nc2)C=CC=N3)c(N2CCC(C([N+H3])C)CC2)cc1,946,737,625.6922,625.6922,3,11,1,1,18,6,1,5,0.35252503,-1.6146957,-2.497859,10.013873,4,2.8222001,90.160004,0.99904537,399.90601
O[C@@]12C(=C)C[C@]3([C@@H](C[N+H3])c4c(C)cccc4[C@H]3CC1)C2,943,1335,438.85056,438.85056,1,6,1,1,18,1,1,1,-0.16333035,-2.5138066,-0.44529998,9.6670475,4,2.2790201,47.869999,0.99785209,270.396
[N+H3][C@@H]1c2nccnc2[C@H](N)CC1,921,1461,324.98544,324.98544,3,6,1,1,8,4,0,0,-2.1388807,-5.2137241,1.7173626,8.1473713,2,-0.25580001,79.440002,1.6992507,165.22
[N+H3]CCc1c2c([nH]c1)cccc2,905,792,346.44949,346.44949,0,9,1,1,10,2,0,2,-1.2320013,-3.2792718,0.74134153,10.035471,2,0.95226997,43.43,0.99907929,161.228
S(=O)(=O)(c1cc2OCCN(C(=O)NCC[N+H3])c2cc1)c1ccccc1,904,706,566.00732,566.00732,4,12,1,1,16,3,4,6,0.13629529,-3.1800268,-0.99615127,8.7930231,3,0.66970003,103.35,0.98414969,362.42999
Clc1c(NC(=O)C=2C(=O)Nc3nc(OC)ncc3C=2)cc(C(=O)NC(CC[N+H3])C2CCCCC2)cc1,861,668,773.60724,773.60724,5,12,1,3,21,6,4,10,1.5322107,-0.9521333,-3.5737877,7.4850626,4,2.4235001,149.95,0.75245875,514.00598
Fc1c(OC2=NC=Nn3c2c(C)c(OC[C@H](OC(=O)[C@@H](N)C)C)c3)ccc2[nH]c(C)cc12,851,29,738.36273,738.36273,5,14,0,2,20,5,4,8,3.2991564,3.4514251,-5.554821,14,4,3.0136399,116.22,0.29574651,441.46298
Clc1cc2nc(Cn3nc(S(=O)(=O)C)c4c3cncc4)n(C3CN(C(=O)C[N+H3])CC3)c2cc1,850,690,710.37738,710.37738,6,18,1,0,20,7,3,6,1.7098781,-2.681262,-2.7690077,7.4088092,5,1.2634,130.62,0.86295176,488.97998
Clc1cc([C@H]2[C@H](C(=O)NCCC[N+H3])N[C@@H](CC(C)(C)C)[C@]2(C#N)c2ccc(Cl)cc2)ccc1,847,717,689.41583,689.41583,3,12,1,2,26,4,1,10,3.3264856,0.88134927,-4.1405106,9.6716299,3,4.0633841,92.559998,1.01218,488.483
O=C(N)c1c(Nc2nc(C(C#N)(C)C)ccc2)cc(NCC[N+H3])nn1,838,1745,581.40228,581.40228,5,12,1,3,12,8,1,8,-1.7819456,-4.8760028,-0.1634292,9.0071878,2,0.169084,157.25,0.99303812,341.39899
O=C1[C@@H]([N+H3])CS[C@H](c2sccc2)CN1,838,1295,374.89301,374.89301,1,5,1,1,10,2,1,1,0.42366683,-3.9268358,0.36324909,7.3024197,2,0.35820001,56.740002,0.66737735,229.34801
S(=O)(=O)(c1cc2N(C(=O)NCC[N+H3])CCOc2cc1)c1ccccc1,828,762,560.88593,560.88593,4,12,1,1,16,3,4,6,0.13614957,-3.1812882,-0.99629784,8.7918968,3,0.66970003,103.35,0.98410916,362.42999
S(=O)(=O)(CC[N+H3])c1cc(C(F)(F)F)cc(C(=O)N(C)c2c(-c3c(OC)cc(F)cc3)ccnc2)c1,824,213,677.14136,677.14136,5,18,1,0,26,3,4,9,4.5630207,-0.56840271,-3.5063508,5.9912472,3,3.5188,104.21,0.093407758,512.50397
Clc1cc2n(C)nc(-c3nc4c(C(=O)NC5CC([N+H3])CC5)c[nH]c4nc3)c2cc1,823,2455,651.77301,651.77301,5,18,1,3,19,7,1,4,-0.17134438,-2.542402,-2.3414779,9.6099825,5,2.4170001,116.13,1.0065905,410.88898
FC(F)(F)c1nc(Nc2c(C(=O)N)nnc(NCC[N+H3])c2)ccc1,821,2189,540.93146,540.93146,4,12,1,3,13,7,1,7,-1.3381616,-4.4311061,-0.053199504,9.009573,2,0.69819999,133.46001,0.99031276,342.30499
O=C1[C@]2(CO)C[C@]3([C@@H](C[N+H3])c4c(C)cccc4[C@H]3CC2)C1,818,1487,445.06339,445.06339,2,6,1,1,17,1,2,2,-0.36199459,-2.7793584,-0.35275346,9.6002436,4,1.53952,64.940002,0.99749583,286.39499
S(CC[N+H3])c1cc(C(F)(F)F)cc(C(=O)N(C)c2c(-c3c(OC)cc(F)cc3)ccnc2)c1,787,312,670.85944,670.85944,3,18,1,0,27,3,2,9,3.5143478,0.63891864,-4.0545344,9.1735229,3,4.8372002,70.07,1.0391667,480.50598
O[C@@]12C(=C)C[C@]3([C@@H](CC[N+H3])c4c(C)cccc4[C@H]3CC1)C2,780,1867,462.68011,462.68011,1,6,1,1,19,1,1,2,-0.19575721,-2.3337696,-0.71952033,9.9554491,4,2.6691201,47.869999,0.9988932,284.423
FC(F)(F)Oc1cc(Nc2cc3c(cc2)C[C@@H]([N+H3])CC3)ccc1,766,1076,517.47534,517.47534,1,12,1,1,20,2,1,4,1.4903464,-0.64505994,-1.8653799,9.8146038,3,3.4279399,48.900002,0.99846989,323.33798
Clc1c(OC2=CC(=O)N([C@H](C(=O)Nc3nn(C[C@@H]([N+H3])CO)cc3)CC(C)C)C2)cccc1,765,302,713.54968,713.54968,4,11,1,2,20,5,4,11,3.2705481,-1.1411682,-2.5753529,7.4484582,3,1.564,124.33,0.73781383,462.95798
S(=O)(=O)(c1cc2c([C@H](CC[N+H3])CCC2)cc1)c1ccccc1,759,851,512.62091,512.62091,2,12,1,0,18,1,2,4,1.1928183,-0.92528051,-1.8555192,9.9814253,3,2.57127,61.779999,0.9989574,316.44501
Fc1c2[nH]cc(C#N)c2cc(C(CC[N+H3])c2ccccc2)c1,757,1281,516.0838,516.0838,1,15,1,1,18,3,0,5,0.84250623,-1.372275,-1.8308111,9.8763866,3,2.942584,67.220001,0.99867249,294.353
[N+H3]C1(c2ccc(-n3c(-c4c(N)nccc4)nc4c3nc(-c3ccccc3)cc4)cc2)CCC1,757,330,669.08051,669.08051,3,27,1,1,24,6,0,4,2.0247293,-0.20812316,-4.1866288,9.4728355,6,4.6643,97.260002,1.0258194,433.539
Clc1cc2n(C)nc(-c3nc4c(C(=O)NC(C[N+H3])(C)C)c[nH]c4nc3)c2cc1,743,1568,627.41992,627.41992,5,18,1,3,18,7,1,5,0.50567055,-2.3312907,-2.2569408,9.2029457,4,2.2744999,116.13,1.0026546,398.87799
Clc1c(C2C(C(=O)OCC)=C(COCC[N+H3])NC(C)=C2C(=O)OC)cccc1,741,426,620.73615,620.73615,3,6,1,1,19,2,5,10,0.91844189,-2.0193591,-1.618698,9.1390457,2,1.5495,101.5,0.99279201,409.88998
S(=O)(=O)(c1cc(F)ccc1)c1cc2c([C@H](CNC(=O)C[N+H3])CCC2)cc1,730,447,589.58887,589.58887,3,12,1,1,19,2,3,6,2.7044153,-1.7760792,-1.7740436,7.3909807,3,1.43647,90.879997,0.71100414,377.45999
Clc1cc(NC(=O)c2c3n(nc2)C=CC=N3)c(N2CC(C[N+H3])CC2)cc1,724,1013,597.73151,597.73151,3,11,1,1,16,6,1,5,0.1003916,-2.1932354,-1.9939541,9.7576284,4,2.0436001,90.160004,0.99826872,371.85199
Clc1cc(NC(=O)c2c3n(nc2)C=CC=N3)c(N2CCC([N+H3])CC2)cc1,700,836,577.23499,577.23499,3,11,1,1,16,6,1,4,0.32637504,-2.1088095,-2.0486965,9.5327997,4,2.1861,90.160004,0.99708933,371.85199
